Barrier ID,Site Name,Watershed Name,Crossing Type,Assessment Type Completed,Next Steps,Reason,Notes,Supporting Links
123377,Thompson Cr @ Walcott Rd (123377),BULK,Stream crossing - CBS,Habitat confirmation,Commission engineering designs,MOTI already designing new structure,Preliminary designs completed but under review for improved design by MOTI,https://www.newgraphenvironment.com/fish_passage_skeena_2021_reporting/thompson-creek---198066-123377-123375---appendix.html
123445,Tyhee Cr @ Hwy 16 (123445),BULK,Stream crossing - CBS,Habitat confirmation,Commission engineering designs,Important connector to Tyhee Lake,Preliminary designs complete and include habitat restoration compoents. Designs require internal review by MOTI to finalize,https://www.newgraphenvironment.com/fish_passage_bulkley_2020_reporting/appendix---123445-123446---tyhee-creek.html
124420,Station Cr @ Hwy 16 (124420),BULK,Stream crossing - CBS,Habitat confirmation,Engage with barrier owner,Very important salmon stream historically for Hagwilget. Legacy barrier has resulted in major salmon declines in watershed,Several preliminary  designs completed but no political will to move this project forward from MOTI's side,https://www.newgraphenvironment.com/fish_passage_skeena_2021_reporting/station-creek---124420-124421-124422---appendix.html
124421,Trib to Waterfall Cr @ 11th Ave (124421),BULK,Stream crossing - CBS,Habitat confirmation,Engage with partners,"""low hanging fruit"" upstream of hgihway",Slow  moving almost wetland like stream. Deep glides throughout. Moderate to high stagnant water often smelling of sulfur. Lots of healthy riparian veeg. Apperas to have v. unstable flows.,https://www.newgraphenvironment.com/fish_passage_skeena_2021_reporting/station-creek---124420-124421-124422---appendix.html
124487,Porphry Cr @ Hwy 16 (124487),BULK,Stream crossing - CBS,Engineering design,Rehabilitation,Complete barrier to fish passage,Scheduled for replacement by MOTI in next 2-3 years,https://www.newgraphenvironment.com/fish_passage_bulkley_2020_reporting/appendix---124487---porphyryr-creek.html
124500,Helps Cr @ Lawson Rd (124500),BULK,Stream crossing - CBS,Habitat confirmation,Commission engineering designs,Relatively easy fix for a MOTI road,"Preliminary designs complete, require internal review by MOTI to finalize. Passable to most adult fish but may be a low flow barrier. Passability for juvenile fish unknown.",https://www.newgraphenvironment.com/fish_passage_bulkley_2020_reporting/appendix---124500---helps-creek.html 
195288,Gibson Cr @ Schnider Rd (195288),BULK,Stream crossing - CBS,Habitat confirmation,Engage with barrier owner,Considered important migration corridor with moderate juvenile rearing potential,,https://www.newgraphenvironment.com/fish_passage_bulkley_2020_reporting/appendix---195290-195288---gibson-creek.html
195290,Gibson Cr @ Hwy 16 (195290),BULK,Stream crossing - CBS,Habitat confirmation,Engage with barrier owner,"Likely a full barrier to passage. Good habitat upstream, Coho captured downstream but not upstream.",,https://www.newgraphenvironment.com/fish_passage_bulkley_2020_reporting/appendix---195290-195288---gibson-creek.html
195943,Stock Cr @ Barrett Stn Rd (195943),BULK,Stream crossing - CBS,Habitat confirmation,Engage with barrier owner,Important migration corridor with suitable spawning habitat and moderate rearing potential. ,recommend advancing to priority barriers list.,https://www.newgraphenvironment.com/fish_passage_bulkley_2022_reporting/stock-creek---195943-195944---appendix.html
195944,Stock Cr @ Hwy 16 (195944),BULK,Stream crossing - CBS,Habitat confirmation,Engage with barrier owner,Perched culvert under deep fill. Medium quality habitat. Recommend as non-actionable,Heavily trampled by cattle. Suitable overwintering and rearing habitat with occasional spawning habitat. 0.65 m rock drop 365 m upstream likely barrier for juveniles but not adults. Dogwood Enviro Consultants looking at ways to exclude cattle from riparian. Some low flow issues. Historic sightings of adult Coho and Steelhead between 195943 and here. No modeled key habitat upstream,https://www.newgraphenvironment.com/fish_passage_bulkley_2022_reporting/stock-creek---195943-195944---appendix.html
197640,Trib to Buck Cr @ Buck Flats Rd (197640),BULK,Stream crossing - CBS,Habitat confirmation,Commission engineering designs,Relatively easy fix for a MOTI road,"Preliminary designs complete, require internal review by MOTI to finalize.",https://www.newgraphenvironment.com/fish_passage_bulkley_2020_reporting/appendix---197640---tributary-to-buck-creek.html
197658,Byman Cr @ Hwy 16 (197658),BULK,Stream crossing - CBS,Habitat confirmation,Commission engineering designs,Culvert at end of life cycle and needs replacing. ,Stream needs work downstream to prevent dewatering. DFO pursuing options with MOTI. Passable to most salmon and life stages but velocity barrier at high flows and may be too shallow for adults at low flows.,https://www.newgraphenvironment.com/fish_passage_bulkley_2020_reporting/appendix---197658---byman-creek.html
197662,Richfield Cr @ Hwy 16 (197662),BULK,Stream crossing - CBS,Habitat confirmation,Engage with barrier owner,High quality habitat with high potential habitat gains,"Major barrier, some flooding issues upstream also needs addressing. Aim for completion in next 5-10 years.",https://www.newgraphenvironment.com/fish_passage_bulkley_2020_reporting/appendix---197662---richfield-creek.html
